Time (s) Run #5,Position (m) Run #5,Velocity (m/s) Run #5,Acceleration (m/s²) Run #5
0.02,1.12,-0.02,
0.04,1.12,-0.01,0.4
0.06,1.12,0.0,-0.36
0.08,1.12,-0.01,-1.47
0.1,1.12,-0.06,-2.7
0.12,1.12,-0.13,-3.73
0.14,1.12,-0.21,-4.51
0.16,1.11,-0.31,-5.25
0.18,1.11,-0.42,-5.75
0.2,1.1,-0.55,-5.76
0.22,1.09,-0.66,-5.37
0.24,1.07,-0.76,-4.96
0.26,1.05,-0.85,-4.84
0.28,1.04,-0.95,-4.93
0.3,1.02,-1.05,-4.97
0.32,0.99,-1.15,-4.72
0.34,0.97,-1.25,-4.24
0.36,0.94,-1.32,-3.83
0.38,0.92,-1.39,-3.67
0.4,0.89,-1.47,-3.69
0.42,0.86,-1.54,-3.68
0.44,0.83,-1.61,-3.59
0.46,0.79,-1.68,-3.47
0.48,0.76,-1.75,-3.33
0.5,0.72,-1.82,-3.13
0.52,0.69,-1.88,-3.0
0.54,0.65,-1.93,-3.03
0.56,0.61,-2.0,-3.09
0.58,0.57,-2.06,-2.87
0.6,0.53,-2.12,-2.32
0.62,0.48,-2.16,-1.83
0.64,0.44,-2.18,-1.63
0.66,0.4,-2.22,-1.66
0.68,0.35,-2.25,-1.85
0.7,0.31,-2.29,-1.51
0.72,0.26,-2.34,2.92
0.74,0.21,-2.32,14.59
0.76,0.16,-1.88,
0.78,0.13,-1.0,
