Time (s) Run #4,Position (m) Run #4,Velocity (m/s) Run #4,Acceleration (m/s²) Run #4
0.06,0.89,0.0,0.9
0.08,0.89,0.0,0.22
0.1,0.89,0.0,-0.03
0.12,0.89,0.0,-0.05
0.14,0.89,0.000186,-0.04
0.16,0.89,0.0,-0.02
0.18,0.89,0.0,0.02
0.2,0.89,-0.000186,0.05
0.22,0.89,0.0,0.03
0.24,0.89,0.0,0.0
0.26,0.89,-0.000186,0.02
0.28,0.89,0.0,0.08
0.3,0.89,0.0,0.13
0.32,0.89,0.01,0.01
0.34,0.89,0.01,-0.35
0.36,0.89,0.0,-0.9
0.38,0.89,-0.03,-1.44
0.4,0.89,-0.06,-1.73
0.42,0.89,-0.1,-1.79
0.44,0.89,-0.14,-1.74
0.46,0.89,-0.17,-1.55
0.48,0.88,-0.2,-0.99
0.5,0.88,-0.22,-0.42
0.52,0.87,-0.21,-0.59
0.54,0.87,-0.22,-1.53
0.56,0.87,-0.28,-2.22
0.58,0.86,-0.33,-1.78
0.6,0.85,-0.36,-0.71
0.62,0.84,-0.35,-0.12
0.64,0.84,-0.34,-0.5
0.66,0.83,-0.36,-1.38
0.68,0.82,-0.41,-1.88
0.7,0.81,-0.45,-1.42
0.72,0.8,-0.48,-0.63
0.74,0.8,-0.46,-0.02
0.76,0.79,-0.47,0.1
0.78,0.78,-0.46,-0.35
0.8,0.77,-0.47,-1.13
0.82,0.76,-0.51,-1.73
0.84,0.75,-0.56,-1.4
0.86,0.73,-0.58,-0.68
0.88,0.72,-0.57,-0.54
0.9,0.71,-0.58,-1.04
0.92,0.7,-0.62,-1.45
0.94,0.69,-0.65,-1.17
0.96,0.67,-0.67,-0.51
0.98,0.66,-0.67,-0.19
1.0,0.65,-0.66,-0.25
1.02,0.63,-0.68,-0.32
1.04,0.62,-0.69,-0.19
1.06,0.61,-0.69,-0.09
1.08,0.59,-0.68,-0.2
1.1,0.58,-0.69,-0.3
1.12,0.57,-0.7,-0.3
1.14,0.55,-0.7,-0.27
1.16,0.54,-0.71,-0.3
1.18,0.52,-0.72,-0.31
1.2,0.51,-0.72,-0.29
1.22,0.49,-0.73,-0.23
1.24,0.48,-0.73,-0.15
1.26,0.46,-0.74,-0.06
1.28,0.45,-0.74,-0.01
1.3,0.44,-0.74,0.000654
1.32,0.42,-0.74,-0.01
1.34,0.41,-0.74,-0.05
1.36,0.39,-0.74,-0.08
1.38,0.38,-0.74,-0.08
1.4,0.36,-0.74,-0.23
1.42,0.35,-0.74,-0.49
1.44,0.33,-0.76,-0.54
1.46,0.32,-0.78,-0.22
1.48,0.3,-0.77,0.15
1.5,0.29,-0.76,0.02
1.52,0.27,-0.76,-0.26
1.54,0.25,-0.78,-0.27
1.56,0.24,-0.78,0.03
1.58,0.22,-0.77,0.33
1.6,0.21,-0.77,0.59
1.62,0.19,-0.76,1.18
1.64,0.18,-0.73,2.0
1.66,0.16,-0.67,3.09
1.68,0.15,-0.61,4.83
1.7,0.14,-0.5,7.01
1.72,0.13,-0.32,8.12
1.74,0.13,-0.12,6.56
1.76,0.13,-0.02,2.53
1.78,0.13,-0.02,67.33
1.8,0.13,-0.12,202.73
